market_id	n	coverage	reason
88958221358481593189018971636706673525256586039054686334235445254143533055740	2940	0.98	no_strike
107169506758512992751328538487606063147788929661167098614459724825333763195076	2108	0.7026666666666667	no_close_10s
21624288484622757345808252453328353161863660690521304416369042749603909418097	2530	0.8433333333333334	no_open_10s
96171852626771237971049645244129197860710929908170418073342294540599931061832	1810	0.6033333333333334	no_open_10s
23929576445295804091884428680176927689241752936664203251351638122020297875695	2712	0.904	no_open_10s
51973022168171193494329216054063668713593071494352623593657231577842452545134	2589	0.863	coverage_below_90pct
11628338604259867517640079046012537098137717207652821991406773604074875885078	2764	0.9213333333333333	no_close_10s
64765629252608890506558762817591046986742755836383573632598745733310450340434	2521	0.8403333333333334	no_open_10s
101638549922025005288520388266488515066011295106056053360552849774393834179070	2587	0.8623333333333333	coverage_below_90pct
46072763180779057415165277764636271452178747068043129014685386895941145561152	2698	0.8993333333333333	no_open_10s
62518441762175418152804787953457299641377918689869424677962350098512383695504	2802	0.934	no_close_10s
46673093646512713941141041618263088653956697369477346363121444803178199062471	2583	0.861	no_close_10s
34278150970391541061121130160309257364121657664177369559313005233095592933676	2568	0.856	no_close_10s
1336268665939431200481059299558081966241086363079324774640423655719006733091	2434	0.8113333333333334	no_open_10s
103324303258778730559048157484585490354779825689552235395818486097287916503554	2594	0.8646666666666667	coverage_below_90pct
69113008326987049795321364157489484637593764919841126701710828338331076115221	2266	0.7553333333333333	no_close_10s
66743121537772482223035583074553294157486027148031448836227404627762814818009	2485	0.8283333333333334	no_close_10s
64013419047151005001747402450606874942806305331919163246068373595116929619123	2654	0.8846666666666667	no_close_10s
67677176250483786491408516978023049712099201844361384213625683389899269721002	2252	0.7506666666666667	no_close_10s
163181157967801405033472768472711421389432189197517450419260620640984000985	2024	0.6746666666666666	no_close_10s
73348925738651571343393295856813495969913823976518384367004191147169007978440	1451	0.4836666666666667	no_close_10s
49403953531728010309015026208158401097991568130202454114153767847999284318524	2708	0.9026666666666666	no_close_10s
82933929291721691771131631500182654818503844074733255397173220768357119744349	2357	0.7856666666666666	no_close_10s
